step=081 action=1 queues(env)=N2,S7,E4,W2 rendered_approaching={'N': 2, 'S': 7, 'E': 4, 'W': 2} rendered_departing={'N': 9, 'S': 10, 'E': 10, 'W': 9} reward=-30.1
step=082 action=2 queues(env)=N2,S7,E4,W3 rendered_approaching={'N': 2, 'S': 7, 'E': 4, 'W': 3} rendered_departing={'N': 9, 'S': 10, 'E': 10, 'W': 9} reward=-32.4
step=083 action=0 queues(env)=N1,S6,E4,W3 rendered_approaching={'N': 1, 'S': 6, 'E': 4, 'W': 3} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 9} reward=-29.6
step=084 action=2 queues(env)=N1,S5,E4,W3 rendered_approaching={'N': 1, 'S': 5, 'E': 4, 'W': 3} rendered_departing={'N': 10, 'S': 9, 'E': 10, 'W': 9} reward=-27.9
step=085 action=4 queues(env)=N1,S5,E4,W3 rendered_approaching={'N': 1, 'S': 5, 'E': 4, 'W': 3} rendered_departing={'N': 10, 'S': 9, 'E': 9, 'W': 9} reward=-37.2
step=086 action=3 queues(env)=N2,S5,E5,W4 rendered_approaching={'N': 2, 'S': 5, 'E': 5, 'W': 4} rendered_departing={'N': 10, 'S': 9, 'E': 9, 'W': 9} reward=-33.5
step=087 action=4 queues(env)=N2,S5,E5,W5 rendered_approaching={'N': 2, 'S': 5, 'E': 5, 'W': 5} rendered_departing={'N': 10, 'S': 9, 'E': 9, 'W': 9} reward=-44.1
step=088 action=3 queues(env)=N3,S6,E5,W5 rendered_approaching={'N': 3, 'S': 6, 'E': 5, 'W': 5} rendered_departing={'N': 10, 'S': 9, 'E': 9, 'W': 8} reward=-39.0
step=089 action=1 queues(env)=N3,S6,E5,W5 rendered_approaching={'N': 3, 'S': 6, 'E': 5, 'W': 5} rendered_departing={'N': 10, 'S': 9, 'E': 9, 'W': 8} reward=-38.4
step=090 action=3 queues(env)=N3,S6,E5,W4 rendered_approaching={'N': 3, 'S': 6, 'E': 5, 'W': 4} rendered_departing={'N': 10, 'S': 9, 'E': 9, 'W': 9} reward=-36.9
step=091 action=0 queues(env)=N2,S5,E5,W4 rendered_approaching={'N': 2, 'S': 5, 'E': 5, 'W': 4} rendered_departing={'N': 10, 'S': 10, 'E': 9, 'W': 9} reward=-33.3
step=092 action=3 queues(env)=N2,S6,E5,W4 rendered_approaching={'N': 2, 'S': 6, 'E': 5, 'W': 4} rendered_departing={'N': 10, 'S': 9, 'E': 9, 'W': 9} reward=-33.8
step=093 action=0 queues(env)=N0,S5,E5,W4 rendered_approaching={'N': 0, 'S': 5, 'E': 5, 'W': 4} rendered_departing={'N': 10, 'S': 10, 'E': 8, 'W': 9} reward=-27.0
step=094 action=1 queues(env)=N0,S6,E5,W4 rendered_approaching={'N': 0, 'S': 6, 'E': 5, 'W': 4} rendered_departing={'N': 10, 'S': 10, 'E': 8, 'W': 9} reward=-29.1
step=095 action=2 queues(env)=N0,S7,E5,W4 rendered_approaching={'N': 0, 'S': 7, 'E': 5, 'W': 4} rendered_departing={'N': 9, 'S': 10, 'E': 8, 'W': 9} reward=-31.6
step=096 action=0 queues(env)=N0,S6,E6,W5 rendered_approaching={'N': 0, 'S': 6, 'E': 6, 'W': 5} rendered_departing={'N': 9, 'S': 10, 'E': 8, 'W': 8} reward=-30.1
step=097 action=0 queues(env)=N0,S4,E6,W5 rendered_approaching={'N': 0, 'S': 4, 'E': 6, 'W': 5} rendered_departing={'N': 9, 'S': 10, 'E': 8, 'W': 8} reward=-21.0
